,price,location,baths,bedrooms,Total_Area
0,165.0,G-15,6,5,2178.008
1,435.0,Bani Gala,4,4,10890.0
2,70.0,DHA Defence,3,3,2178.008
3,345.0,Ghauri Town,8,8,87120.0
4,270.0,Korang Town,8,8,5445.0
5,500.0,DHA Defence,7,7,5445.0
6,190.0,DHA Defence,3,3,2722.51
7,800.0,DHA Defence,7,7,10890.0
8,269.0,B-17,6,6,5445.0
9,550.0,G-11,7,6,3811.514
10,45.0,Bhara kahu,3,3,1361.255
11,45.0,Garden Town,4,4,12795.797
12,68.0,Koral Town,4,4,1089.004
13,200.0,Soan Garden,5,6,3267.012
14,1000.0,F-6,5,5,48460.67799999999
15,2200.0,F-7,10,10,114345.0
16,45.0,Ghauri Town,3,2,1361.255
17,125.0,I-16,5,6,2178.008
18,2300.0,E-7,4,4,136125.0
19,388.0,Emaar Canyon Views,4,5,81675.0
20,465.0,G-13,9,9,29675.359
21,140.0,F-17,6,4,1905.757
22,325.0,Korang Town,9,7,3267.012
23,300.0,Bahria Town,7,6,2722.51
24,210.0,Bahria Town,6,5,2722.51
25,140.0,G-13,5,5,1089.004
26,145.0,Ghauri Town,5,4,1905.757
27,190.0,G-11,5,5,15246.056
28,65.0,DHA Defence,3,3,2178.008
29,185.0,DHA Defence,4,3,2722.51
31,155.0,PWD Housing Scheme,5,5,2722.51
32,1050.0,F-11,10,7,5445.0
33,310.0,G-13,10,8,2722.51
34,105.0,Kuri Road,4,3,2178.008
35,145.0,G-11,3,4,11979.043999999998
36,830.0,F-11,6,6,5445.0
37,130.0,Pakistan Town,4,4,3267.012
38,90.0,Chatha Bakhtawar,4,4,1361.255
39,650.0,G-11,6,6,5445.0
40,900.0,E-11,9,9,5445.0
41,800.0,F-10,6,6,5445.0
42,850.0,F-10,6,6,5445.0
43,850.0,F-11,6,6,5445.0
44,1050.0,F-7,5,4,70785.0
45,85.0,Bani Gala,5,5,1361.255
46,130.0,G-13,4,3,1361.255
47,320.0,B-17,10,8,5445.0
48,500.0,F-8,5,4,25319.343
49,210.0,Bahria Town,6,5,2722.51
50,800.0,F-8,5,5,5445.0
51,365.0,Bahria Town,7,6,5445.0
53,235.0,Bahria Town,6,5,2722.51
54,430.0,Bahria Town,8,6,5445.0
55,230.0,Bahria Town,6,5,2722.51
56,275.0,G-11,5,5,2178.008
57,950.0,F-11,9,9,5445.0
58,725.0,Bahria Town,7,6,10890.0
59,3200.0,F-8,10,10,196020.0
60,410.0,G-11,6,6,38659.642
61,120.0,Bhara kahu,4,4,2178.008
62,550.0,Emaar Canyon Views,7,7,98010.0
63,1400.0,F-11,6,9,10890.0
65,45.0,Lehtarar Road,3,2,1361.255
66,235.0,G-11,4,4,2178.008
67,379.0,G-9,6,6,38659.642
68,130.0,E-14,5,6,2722.51
69,1650.0,F-8,6,6,10890.0
70,850.0,F-10,7,6,70785.0
72,95.0,Soan Garden,3,3,2722.51
73,480.0,Bani Gala,8,8,81675.0
74,748.0,E-11,10,10,5445.0
76,280.0,Bahria Town,6,5,2994.7609999999995
77,85.0,I-14,3,4,816.7529999999999
78,220.0,DHA Defence,4,6,2722.51
79,42.0,Tarlai,3,5,1089.004
80,350.0,G-13,6,6,29675.359
81,140.0,PWD Housing Scheme,4,4,18240.817
